"count","name","unicode","bytes","emojiid","emoji","rencoding","dens","dens.sm","rank"
6,"relieved face","U+1F60C","\xF0\x9F\x98\x8C",10,"😌","<ed><a0><bd><ed><b8><8c>",0.1,0.000142819252035174,125
6,"heavy exclamation mark symbol","U+2757","\xE2\x9D\x97",80,"❗","<e2><9d><97>",0.1,0.000142819252035174,126
6,"white medium star","U+2B50","\xE2\xAD\x90",254,"⭐","<e2><ad><90>",0.1,0.000142819252035174,127
6,"palm tree","U+1F334","\xF0\x9F\x8C\xB4",286,"🌴","<ed><a0><bc><ed><bc><b4>",0.1,0.000142819252035174,128
6,"wine glass","U+1F377","\xF0\x9F\x8D\xB7",350,"🍷","<ed><a0><bc><ed><bd><b7>",0.1,0.000142819252035174,129
6,"headphone","U+1F3A7","\xF0\x9F\x8E\xA7",382,"🎧","<ed><a0><bc><ed><be><a7>",0.1,0.000142819252035174,130
6,"yellow heart","U+1F49B","\xF0\x9F\x92\x9B",563,"💛","<ed><a0><bd><ed><b2><9b>",0.1,0.000142819252035174,131
6,"mobile phone with rightwards arrow at left","U+1F4F2","\xF0\x9F\x93\xB2",644,"📲","<ed><a0><bd><ed><b3><b2>",0.1,0.000142819252035174,132
6,"smiling face with halo","U+1F607","\xF0\x9F\x98\x87",721,"😇","<ed><a0><bd><ed><b8><87>",0.1,0.000142819252035174,133
5,"face with cold sweat","U+1F613","\xF0\x9F\x98\x93",14,"😓","<ed><a0><bd><ed><b8><93>",0.1,0.000122416501744435,134
5,"confounded face","U+1F616","\xF0\x9F\x98\x96",16,"😖","<ed><a0><bd><ed><b8><96>",0.1,0.000122416501744435,135
5,"disappointed face","U+1F61E","\xF0\x9F\x98\x9E",21,"😞","<ed><a0><bd><ed><b8><9e>",0.1,0.000122416501744435,136
5,"face with open mouth and cold sweat","U+1F630","\xF0\x9F\x98\xB0",33,"😰","<ed><a0><bd><ed><b8><b0>",0.1,0.000122416501744435,137
5,"speak-no-evil monkey","U+1F64A","\xF0\x9F\x99\x8A",53,"🙊","<ed><a0><bd><ed><b9><8a>",0.1,0.000122416501744435,138
5,"cross mark","U+274C","\xE2\x9D\x8C",75,"❌","<e2><9d><8c>",0.1,0.000122416501744435,139
5,"black sun with rays","U+2600","\xE2\x98\x80",203,"☀","<e2><98><80>",0.1,0.000122416501744435,140
5,"french fries","U+1F35F","\xF0\x9F\x8D\x9F",326,"🍟","<ed><a0><bc><ed><bd><9f>",0.1,0.000122416501744435,141
5,"balloon","U+1F388","\xF0\x9F\x8E\x88",363,"🎈","<ed><a0><bc><ed><be><88>",0.1,0.000122416501744435,142
5,"tongue","U+1F445","\xF0\x9F\x91\x85",480,"👅","<ed><a0><bd><ed><b1><85>",0.1,0.000122416501744435,143
5,"nail polish","U+1F485","\xF0\x9F\x92\x85",541,"💅","<ed><a0><bd><ed><b2><85>",0.1,0.000122416501744435,144
5,"heart with arrow","U+1F498","\xF0\x9F\x92\x98",560,"💘","<ed><a0><bd><ed><b2><98>",0.1,0.000122416501744435,145
4,"angry face","U+1F620","\xF0\x9F\x98\xA0",22,"😠","<ed><a0><bd><ed><b8><a0>",0.1,0.000102013751453696,146
4,"sleepy face","U+1F62A","\xF0\x9F\x98\xAA",30,"😪","<ed><a0><bd><ed><b8><aa>",0.1,0.000102013751453696,147
4,"cat face with tears of joy","U+1F639","\xF0\x9F\x98\xB9",40,"😹","<ed><a0><bd><ed><b8><b9>",0.1,0.000102013751453696,148
4,"smiling cat face with heart-shaped eyes","U+1F63B","\xF0\x9F\x98\xBB",42,"😻","<ed><a0><bd><ed><b8><bb>",0.1,0.000102013751453696,149
4,"hear-no-evil monkey","U+1F649","\xF0\x9F\x99\x89",52,"🙉","<ed><a0><bd><ed><b9><89>",0.1,0.000102013751453696,150
4,"no entry sign","U+1F6AB","\xF0\x9F\x9A\xAB",109,"🚫","<ed><a0><bd><ed><ba><ab>",0.1,0.000102013751453696,151
4,"negative squared latin capital letter b","U+1F171","\xF0\x9F\x85\xB1",123,"🅱","<ed><a0><bc><ed><b5><b1>",0.1,0.000102013751453696,152
4,"regional indicator symbol letter f + regional indicator symbol letter r","U+1F1EB U+1F1F7","\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7",142,"🇫🇷","<ed><a0><bc><ed><b7><ab><ed><a0><bc><ed><b7><b7>",0.1,0.000102013751453696,153
4,"black right-pointing double triangle","U+23E9","\xE2\x8F\xA9",189,"⏩","<e2><8f><a9>",0.1,0.000102013751453696,154
4,"umbrella with rain drops","U+2614","\xE2\x98\x94",207,"☔","<e2><98><94>",0.1,0.000102013751453696,155
4,"hot beverage","U+2615","\xE2\x98\x95",208,"☕","<e2><98><95>",0.1,0.000102013751453696,156
4,"tropical drink","U+1F379","\xF0\x9F\x8D\xB9",352,"🍹","<ed><a0><bc><ed><bd><b9>",0.1,0.000102013751453696,157
4,"fireworks","U+1F386","\xF0\x9F\x8E\x86",361,"🎆","<ed><a0><bc><ed><be><86>",0.1,0.000102013751453696,158
4,"firework sparkler","U+1F387","\xF0\x9F\x8E\x87",362,"🎇","<ed><a0><bc><ed><be><87>",0.1,0.000102013751453696,159
4,"clapper board","U+1F3AC","\xF0\x9F\x8E\xAC",387,"🎬","<ed><a0><bc><ed><be><ac>",0.1,0.000102013751453696,160
4,"direct hit","U+1F3AF","\xF0\x9F\x8E\xAF",390,"🎯","<ed><a0><bc><ed><be><af>",0.1,0.000102013751453696,161
4,"splashing sweat symbol","U+1F4A6","\xF0\x9F\x92\xA6",574,"💦","<ed><a0><bd><ed><b2><a6>",0.1,0.000102013751453696,162
4,"dash symbol","U+1F4A8","\xF0\x9F\x92\xA8",576,"💨","<ed><a0><bd><ed><b2><a8>",0.1,0.000102013751453696,163
