"name","unicode","bytes","emojiid","emoji","rencoding"
"door","U+1F6AA","\xF0\x9F\x9A\xAA",108,"🚪","<ed><a0><bd><ed><ba><aa>"
"no entry sign","U+1F6AB","\xF0\x9F\x9A\xAB",109,"🚫","<ed><a0><bd><ed><ba><ab>"
"smoking symbol","U+1F6AC","\xF0\x9F\x9A\xAC",110,"🚬","<ed><a0><bd><ed><ba><ac>"
"no smoking symbol","U+1F6AD","\xF0\x9F\x9A\xAD",111,"🚭","<ed><a0><bd><ed><ba><ad>"
"bicycle","U+1F6B2","\xF0\x9F\x9A\xB2",112,"🚲","<ed><a0><bd><ed><ba><b2>"
"pedestrian","U+1F6B6","\xF0\x9F\x9A\xB6",113,"🚶","<ed><a0><bd><ed><ba><b6>"
"mens symbol","U+1F6B9","\xF0\x9F\x9A\xB9",114,"🚹","<ed><a0><bd><ed><ba><b9>"
"womens symbol","U+1F6BA","\xF0\x9F\x9A\xBA",115,"🚺","<ed><a0><bd><ed><ba><ba>"
"restroom","U+1F6BB","\xF0\x9F\x9A\xBB",116,"🚻","<ed><a0><bd><ed><ba><bb>"
"baby symbol","U+1F6BC","\xF0\x9F\x9A\xBC",117,"🚼","<ed><a0><bd><ed><ba><bc>"
"toilet","U+1F6BD","\xF0\x9F\x9A\xBD",118,"🚽","<ed><a0><bd><ed><ba><bd>"
"water closet","U+1F6BE","\xF0\x9F\x9A\xBE",119,"🚾","<ed><a0><bd><ed><ba><be>"
"bath","U+1F6C0","\xF0\x9F\x9B\x80",120,"🛀","<ed><a0><bd><ed><bb><80>"
"circled latin capital letter m","U+24C2","\xE2\x93\x82",121,"Ⓜ","<e2><93><82>"
"negative squared latin capital letter a","U+1F170","\xF0\x9F\x85\xB0",122,"🅰","<ed><a0><bc><ed><b5><b0>"
"negative squared latin capital letter b","U+1F171","\xF0\x9F\x85\xB1",123,"🅱","<ed><a0><bc><ed><b5><b1>"
"negative squared latin capital letter o","U+1F17E","\xF0\x9F\x85\xBE",124,"🅾","<ed><a0><bc><ed><b5><be>"
"negative squared latin capital letter p","U+1F17F","\xF0\x9F\x85\xBF",125,"🅿","<ed><a0><bc><ed><b5><bf>"
"negative squared ab","U+1F18E","\xF0\x9F\x86\x8E",126,"🆎","<ed><a0><bc><ed><b6><8e>"
"squared cl","U+1F191","\xF0\x9F\x86\x91",127,"🆑","<ed><a0><bc><ed><b6><91>"
"squared cool","U+1F192","\xF0\x9F\x86\x92",128,"🆒","<ed><a0><bc><ed><b6><92>"
"squared free","U+1F193","\xF0\x9F\x86\x93",129,"🆓","<ed><a0><bc><ed><b6><93>"
"squared id","U+1F194","\xF0\x9F\x86\x94",130,"🆔","<ed><a0><bc><ed><b6><94>"
"squared new","U+1F195","\xF0\x9F\x86\x95",131,"🆕","<ed><a0><bc><ed><b6><95>"
"squared ng","U+1F196","\xF0\x9F\x86\x96",132,"🆖","<ed><a0><bc><ed><b6><96>"
"squared ok","U+1F197","\xF0\x9F\x86\x97",133,"🆗","<ed><a0><bc><ed><b6><97>"
"squared sos","U+1F198","\xF0\x9F\x86\x98",134,"🆘","<ed><a0><bc><ed><b6><98>"
"squared up with exclamation mark","U+1F199","\xF0\x9F\x86\x99",135,"🆙","<ed><a0><bc><ed><b6><99>"
"squared vs","U+1F19A","\xF0\x9F\x86\x9A",136,"🆚","<ed><a0><bc><ed><b6><9a>"
"regional indicator symbol letter d + regional indicator symbol letter e","U+1F1E9 U+1F1EA","\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA",137,"🇩🇪","<ed><a0><bc><ed><b7><a9><ed><a0><bc><ed><b7><aa>"
"regional indicator symbol letter g + regional indicator symbol letter b","U+1F1EC U+1F1E7","\xF0\x9F\x87\xAC\xF0\x9F\x87\xA7",138,"🇬🇧","<ed><a0><bc><ed><b7><ac><ed><a0><bc><ed><b7><a7>"
"regional indicator symbol letter c + regional indicator symbol letter n","U+1F1E8 U+1F1F3","\xF0\x9F\x87\xA8\xF0\x9F\x87\xB3",139,"🇨🇳","<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3>"
"regional indicator symbol letter j + regional indicator symbol letter p","U+1F1EF U+1F1F5","\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5",140,"🇯🇵","<ed><a0><bc><ed><b7><af><ed><a0><bc><ed><b7><b5>"
"regional indicator symbol letter k + regional indicator symbol letter r","U+1F1F0 U+1F1F7","\xF0\x9F\x87\xB0\xF0\x9F\x87\xB7",141,"🇰🇷","<ed><a0><bc><ed><b7><b0><ed><a0><bc><ed><b7><b7>"
"regional indicator symbol letter f + regional indicator symbol letter r","U+1F1EB U+1F1F7","\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7",142,"🇫🇷","<ed><a0><bc><ed><b7><ab><ed><a0><bc><ed><b7><b7>"
"regional indicator symbol letter e + regional indicator symbol letter s","U+1F1EA U+1F1F8","\xF0\x9F\x87\xAA\xF0\x9F\x87\xB8",143,"🇪🇸","<ed><a0><bc><ed><b7><aa><ed><a0><bc><ed><b7><b8>"
"regional indicator symbol letter i + regional indicator symbol letter t","U+1F1EE U+1F1F9","\xF0\x9F\x87\xAE\xF0\x9F\x87\xB9",144,"🇮🇹","<ed><a0><bc><ed><b7><ae><ed><a0><bc><ed><b7><b9>"
"regional indicator symbol letter u + regional indicator symbol letter s","U+1F1FA U+1F1F8","\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8",145,"🇺🇸","<ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8>"
"regional indicator symbol letter r + regional indicator symbol letter u","U+1F1F7 U+1F1FA","\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA",146,"🇷🇺","<ed><a0><bc><ed><b7><b7><ed><a0><bc><ed><b7><ba>"
"squared katakana koko","U+1F201","\xF0\x9F\x88\x81",147,"🈁","<ed><a0><bc><ed><b8><81>"
"squared katakana sa","U+1F202","\xF0\x9F\x88\x82",148,"🈂","<ed><a0><bc><ed><b8><82>"
"squared cjk unified ideograph-7121","U+1F21A","\xF0\x9F\x88\x9A",149,"🈚","<ed><a0><bc><ed><b8><9a>"
"squared cjk unified ideograph-6307","U+1F22F","\xF0\x9F\x88\xAF",150,"🈯","<ed><a0><bc><ed><b8><af>"
"squared cjk unified ideograph-7981","U+1F232","\xF0\x9F\x88\xB2",151,"🈲","<ed><a0><bc><ed><b8><b2>"
"squared cjk unified ideograph-7a7a","U+1F233","\xF0\x9F\x88\xB3",152,"🈳","<ed><a0><bc><ed><b8><b3>"
"squared cjk unified ideograph-5408","U+1F234","\xF0\x9F\x88\xB4",153,"🈴","<ed><a0><bc><ed><b8><b4>"
"squared cjk unified ideograph-6e80","U+1F235","\xF0\x9F\x88\xB5",154,"🈵","<ed><a0><bc><ed><b8><b5>"
"squared cjk unified ideograph-6709","U+1F236","\xF0\x9F\x88\xB6",155,"🈶","<ed><a0><bc><ed><b8><b6>"
